CAD,rpm,load,CAD in rad,S,volume,pressure(bar),temp_var,gamma_var,P1,T1,gamma1,P2,T2,gamma2,P3,T3,Pm,Sp,vel(m/s),h,h(hohen),Area,d_theta,time,dt,dQ,dQ(hohen),dV,dP,dP(hohen),P_conv,P_conv(hohen),HRR,dV/d0,dP/d0,dQ/d0,HRR(hohen),Heat_flux,Heat_flux(hohen),dA
-31.5,1500,12.07152367,-0.5497782499999999,1.0534653647662466,140.25155820024878,14.429708974561027,615.847999737826,1.3740335727509028,14.273065566922277,610.6020948085111,1.3746087866857783,14.288886158032174,611.1058918590636,1.3745535961337834,14.287294174354857,611.0575355822764,14.317465363073985,5.8,13.223999999999998,398.9591432916766,302.35839797990405,0.0360608497404019,0.008726638888888805,-0.20063694267515925,0.0031847133757961776,-0.0033048195383899573,-0.0025046172221944423,-2.6080283950191188,0.36517899553029465,0.36518113253796153,14.652473169885152,14.652475306892818,3408.342687742055,-5.286096550948969,0.7067284451708424,12.527026318364335,2583.0741121247747,94.5164274352474,71.63098292802421,-0.00010227562333407769
-31.0,1500,12.35267639,-0.5410516111111111,1.0215483358239013,137.64352980522966,14.808367551545727,620.2564008566652,1.3735493521781756,14.63531941404171,614.4717260594317,1.3741845915289284,14.653161011396042,615.0389794885535,1.3741223558512492,14.651328064594805,614.9833813972693,14.682476371457398,5.8,13.223999999999998,405.63958126647293,308.0634988981337,0.03595857411706782,0.008726638888888916,-0.19745222929936307,0.0031847133757961776,-0.003406151548004187,-0.002586806150374537,-2.572707434899769,0.3762931507888034,0.3762953778127024,15.02762121538361,15.027623442407508,3512.8489126631835,-5.2160567900382375,0.728067780479897,12.828899873654109,2667.8376004550164,97.69155198497712,74.1919741247115,-0.00010089048764311964
-30.5,1500,12.63587856,-0.5323249722222222,0.9900635644860181,135.0708223703299,15.199008588641165,624.7195148290101,1.373058436176477,15.008365963744442,618.3710509394372,1.3737565272589558,15.028423576504013,619.0065671693095,1.3736867065924292,15.026320536345755,618.9429756396847,15.058469247917659,5.8,13.223999999999998,412.4657181816983,313.9044847207843,0.0358576836294247,0.008726638888888916,-0.1942675159235669,0.0031847133757961776,-0.003510536853527448,-0.0026716723682098076,-2.5370891556851234,0.3877070070959125,0.38770932789696555,15.414027543441668,15.414029864242721,3620.504077689608,-5.145414869799538,0.7499849435019001,13.133396042129675,2755.3622442774995,100.96871050305755,76.84161288144276,-9.949369237982619e-05
-30.0,1500,12.93104553,-0.5235983333333333,0.9590146893411138,132.53373321464477,15.601979966454598,629.2372369545294,1.3725609018604779,15.392482124308039,622.299264342684,1.3733247296049174,15.414966231301266,623.0080993530273,1.3732467575953209,15.412561007978677,622.935704047884,15.445733030651372,5.8,13.223999999999998,419.4398258820577,319.88385496015025,0.035758189937044875,0.008726638888888916,-0.1910828025477707,0.0031847133757961776,-0.0036180545281517622,-0.002759292652974376,-2.5011773677507563,0.3994205184379597,0.39942293691722297,15.811981526416638,15.8119839448959,3731.3897329733263,-5.074178311370247,0.7724809432658439,13.440080226928558,2845.7272259069296,104.35063238778959,79.58253006981218,-9.808538697059915e-05
-29.5,1500,13.2369051,-0.5148716944444444,0.9284053023463628,130.032555846894,16.01763137581689,633.8093792717802,1.3720568407719964,15.787943592073676,626.2554875983376,1.3728893448058892,15.813081058672116,627.042951350983,1.3728026284801378,15.810338363885505,626.9608803906889,15.84455610406712,5.8,13.223999999999998,426.5640764380349,326.00403672158393,0.035660104550074276,0.008726638888888805,-0.18789808917197454,0.0031847133757962054,-0.0037287833173174443,-0.0028497439907651727,-2.4649759305878973,0.4114324732214579,0.41143499342241324,16.221770837106963,16.221773357307917,3845.5870906479317,-5.0023547355015126,0.7955547118136543,13.748470977409852,2939.0119430222426,107.84003970734072,82.4173675345021,-9.66657227681536e-05
-29.0,1500,13.55179882,-0.5061450555555556,0.898238948226517,127.56757991630612,16.446313111602016,638.4356633914437,1.371546359747297,16.195023674053864,630.2387649019496,1.372450529925785,16.223058683537637,631.1104248557095,1.3723544497042213,16.2199397807824,631.0177420642466,16.255225013333437,5.8,13.223999999999998,433.84052475707307,332.2673687992817,0.03556343882730612,0.008726638888888916,-0.18471337579617833,0.0031847133757961776,-0.003842801302603555,-0.0029431032943487575,-2.4284887521122585,0.42374034525114485,0.42374297136161104,16.643680126033544,16.643682752144013,3963.176678190178,-4.929951861175795,0.819202833793792,14.058037155839088,3035.2957176747905,111.43963601031724,85.34876878509981,-9.523485302401213e-05
-28.5,1500,13.86761856,-0.49741841666666664,0.8685191238812919,125.13909116419386,16.888374697193072,643.1157128909982,1.3710295818045943,16.61399196912719,634.2480596501872,1.372008453160142,16.645186962103274,635.2097432292309,1.3719023630246765,16.64164940707842,635.1054454916381,16.678023131287496,5.8,13.223999999999998,441.2710896130116,338.67608421182854,0.03546820397428211,0.008726638888888916,-0.18152866242038215,0.0031847133757961776,-0.003960185525095653,-0.003039447083578465,-2.391719787954429,0.43634013203336647,0.4363428683869626,17.077989539111787,17.077992275465384,4084.237949990252,-4.856977504224517,0.8434192525920423,14.368195077246867,3134.657466694953,115.152093772544,88.37936843286126,-9.379293286096435e-05
-28.0,1500,14.19808674,-0.4886917777777777,0.8392492778014287,122.74737137623943,17.3441633240712,647.849045258157,1.3705066470487994,17.045112896466186,638.2822506825107,1.3715632941333191,17.0797495106876,639.3400465527556,1.3714465219675995,17.075746883049685,639.2230613243131,17.113229165451294,5.8,13.223999999999998,448.85753299782846,345.2322910741049,0.035374411041421146,0.008726638888888805,-0.17834394904458598,0.0031847133757961776,-0.004081011564984294,-0.0031388511251436717,-2.3546730407509244,0.4492261798927572,0.44922903096984823,17.524973062942443,17.524975914019535,4208.848853780805,-4.783439575908858,0.8681949519425274,14.678305645995692,3237.175330156257,118.98004037021329,91.51178026301933,-9.234011924513091e-05
-27.5,1500,14.53568459,-0.4799651388888889,0.8104328094934381,120.3926983354885,17.814022090255374,652.6350633723314,1.369977713590006,17.488644059461656,642.3401284342885,1.371115244184478,17.52702406106115,643.5003864340596,1.3709870923025451,17.522505689099667,643.3695694458656,17.5611154924543,5.8,13.223999999999998,456.60143770004555,351.93795170123695,0.035282070922176015,0.008726638888888916,-0.1751592356687898,0.0031847133757961776,-0.004205353074040038,-0.003241390028277617,-2.3173525594288122,0.46239099546915313,0.46239396589719717,17.98489668456882,17.984899654996862,4337.085348466758,-4.709346081501849,0.8935176120999628,14.987671518765183,3342.926254418765,122.92604246596952,94.74858382866687,-9.08765709579859e-05
-27.0,1500,14.88412285,-0.4712385,0.7820730689130961,118.07534577605969,18.298288020652986,657.4730465157706,1.3694429584716408,17.944834433107157,646.4203910067824,1.3706645066406686,17.98728062880902,647.6897205703881,1.3705242525206642,17.982191309014215,647.5438537803105,18.02194630680044,5.8,13.223999999999998,464.50418301577844,358.7948598405619,0.03519119435121803,0.008726638888888916,-0.17197452229299362,0.0031847133757961776,-0.004333281257532459,-0.003347136792938806,-2.279762438478997,0.4758250432714676,0.47582813782468036,18.458016352285682,18.458019446838897,4469.020869815962,-4.6347051188576245,0.919371239829097,15.29553432633628,3451.9855261576777,126.99258869175834,98.0923094483776,-8.940244856781021e-05
-26.5,1500,15.23734665,-0.4625118611111111,0.7541733559078345,115.7955833375807,18.79728985183066,662.3621409089528,1.368902578603585,18.413922362618944,650.5216401605034,1.370211297075295,18.46077948092759,651.9069070666616,1.3700581943146812,18.45505919486001,651.7446969089362,18.495975570673206,5.8,13.223999999999998,472.56691850155744,365.8046159293058,0.03510179190265022,0.008726638888888916,-0.16878980891719744,0.0031847133757961776,-0.004464864302115825,-0.0034561623068978422,-2.2419068172272034,0.4895165291089259,0.4895197527071685,18.944575723968935,18.944578947567177,4604.725740422917,-4.559524876957994,0.945735771691588,15.601071994178085,3564.42625369605,131.1820705106298,101.54542148678547,-8.791791440108249e-05
-26.0,1500,15.59906578,-0.4537852222222222,0.7267369196680526,113.55367652035349,19.311345563322316,667.3013497683675,1.36835679169492,18.896133361021676,654.6423772396655,1.36975584355018,18.947768888710087,656.1506985111143,1.369589123058601,18.941352520066484,655.9707745020521,18.983444751380308,5.8,13.223999999999998,480.79053568315453,372.9686002792624,0.035013873988249136,0.008726638888888805,-0.16560509554140126,0.0031847133757961776,-0.004600166746196917,-0.003568534788111859,-2.2037898791001,0.5034511693953136,0.5034545271021038,19.444803689461796,19.444807047168588,4744.266520353756,-4.483813634454407,0.9725866504129499,15.903396206794923,3680.3187919119096,135.49676113948314,105.11029979564802,-8.642313251371742e-05
-25.5,1500,15.97723961,-0.44505858333333337,0.6997669581874106,111.34988664125339,19.84075963739721,672.2895228890641,1.3678058371802613,19.391677693557426,658.7809990368248,1.3692983868394148,19.448482652006064,660.4197358132768,1.3691172582847302,19.44129970730253,660.2206495745065,19.48458033313064,5.8,13.223999999999998,489.17563764192363,380.287944095433,0.03492745085573542,0.008726638888888916,-0.1624203821656051,0.0031847133757961776,-0.004739248789351097,-0.003684319168769329,-2.1654158508780483,0.5176119465386334,0.5176154435581722,19.958911653841163,19.9589151508607,4887.705294929481,-4.4075797582002,0.9998943744720918,16.20155006782261,3799.730106988051,139.93879241624853,108.78921919273415,-8.491826866188767e-05
-25.0,1500,16.36557007,-0.43633194444444445,0.673266617732267,109.18447079037534,20.385820029265453,677.3253457593223,1.3672499771329238,19.900747737111214,662.9357936082896,1.3688391806331475,19.963137381190528,664.7125418124444,1.3686428341552688,19.955111718054148,664.4927665767617,19.99959109015244,5.8,13.223999999999998,497.72250640999687,387.7634982437711,0.03484253258707353,0.008726638888888916,-0.1592356687898089,0.0031847133757961776,-0.0048821655374589,-0.003803576417440102,-2.1267890019539664,0.5319788508997141,0.5319824925728129,20.487090568953864,20.48709421062696,5035.098896217134,-4.330831701756097,1.027624021503236,16.49450601396785,3922.7230773289607,144.5101294985985,112.58432685757978,-8.340349027270016e-05
-24.5,1500,16.76493645,-0.42760530555555554,0.6472389923201867,107.05768178842138,20.94679483006967,682.4073282206807,1.3666894971574235,20.423515103446466,667.1049360526828,1.3683784917194117,20.491929523710482,669.0275146685785,1.3681660999253649,20.482979091378233,668.7854453366693,20.52866510875702,5.8,13.223999999999998,506.43106811855625,395.39579969432475,0.03475912909680083,0.008726638888888916,-0.15605095541401273,0.0031847133757961776,-0.0050289661804246875,-0.003926362795892369,-2.087913643575064,0.54652861011111,0.546532401909896,21.029507701489344,21.02951149328813,5186.498054989969,-4.253578003907933,1.0557347466481701,16.78116405002686,4049.355727097182,149.21254328743595,116.4976175271859,-8.187896641470571e-05
